V4_1,Data Marking,calendar-years,time,admin-geography,geography,week-number,week,recorded-deaths,deaths
543,,2012,2012,W92000004,Wales,week-42,Week 42,total-registered-deaths,Total registered deaths
1190,,2013,2013,E12000002,North West,week-27,Week 27,total-registered-deaths,Total registered deaths
978,,2010,2010,E12000009,South West,week-21,Week 21,total-registered-deaths,Total registered deaths
,x,2011,2011,E12000001,North East,week-53,Week 53,total-registered-deaths,Total registered deaths
869,,2011,2011,E12000007,London,week-34,Week 34,total-registered-deaths,Total registered deaths
1519,,2011,2011,E12000008,South East,week-12,Week 12,total-registered-deaths,Total registered deaths
1146,,2011,2011,E12000006,East of England,week-3,Week 03,total-registered-deaths,Total registered deaths
1213,,2011,2011,E12000006,East of England,week-51,Week 51,total-registered-deaths,Total registered deaths
526,,2010,2010,W92000004,Wales,week-33,Week 33,total-registered-deaths,Total registered deaths
579,,2010,2010,W92000004,Wales,week-39,Week 39,total-registered-deaths,Total registered deaths
924,,2011,2011,E12000006,East of England,week-28,Week 28,total-registered-deaths,Total registered deaths
8961,,2010,2010,K04000001,England and Wales,week-36,Week 36,total-registered-deaths,Total registered deaths
,x,2010,2010,E12000007,London,week-53,Week 53,total-registered-deaths,Total registered deaths
987,,2013,2013,E12000004,East Midlands,week-12,Week 12,total-registered-deaths,Total registered deaths
908,,2013,2013,E12000006,East of England,week-13,Week 13,total-registered-deaths,Total registered deaths
883,,2010,2010,E12000007,London,week-47,Week 47,total-registered-deaths,Total registered deaths
937,,2010,2010,E12000009,South West,week-40,Week 40,total-registered-deaths,Total registered deaths
744,,2010,2010,E12000004,East Midlands,week-42,Week 42,total-registered-deaths,Total registered deaths
943,,2010,2010,E12000005,West Midlands,week-44,Week 44,total-registered-deaths,Total registered deaths
8467,,2010,2010,K04000001,England and Wales,week-31,Week 31,total-registered-deaths,Total registered deaths
11193,,2010,2010,K04000001,England and Wales,week-49,Week 49,total-registered-deaths,Total registered deaths
1274,,2013,2013,E12000006,East of England,week-16,Week 16,total-registered-deaths,Total registered deaths
1080,,2013,2013,E12000007,London,week-1,Week 01,total-registered-deaths,Total registered deaths
1343,,2011,2011,E12000002,North West,week-7,Week 07,total-registered-deaths,Total registered deaths
881,,2011,2011,E12000003,Yorkshire and The Humber,week-42,Week 42,total-registered-deaths,Total registered deaths
1366,,2011,2011,E12000002,North West,week-5,Week 05,total-registered-deaths,Total registered deaths
745,,2011,2011,E12000004,East Midlands,week-41,Week 41,total-registered-deaths,Total registered deaths
867,,2010,2010,E12000005,West Midlands,week-28,Week 28,total-registered-deaths,Total registered deaths
1412,,2010,2010,E12000006,East of England,week-1,Week 01,total-registered-deaths,Total registered deaths
959,,2011,2011,E12000006,East of England,week-21,Week 21,total-registered-deaths,Total registered deaths
969,,2011,2011,E12000009,South West,week-25,Week 25,total-registered-deaths,Total registered deaths
